"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10005133-10011081","156","10005133","10011081","5948","1534.31159643","3.87665713655"
"SL2.50ch00:10006571-10011218","140","10006571","10011218","4647","1534.31159643","3.02871985769"
"SL2.50ch00:10028416-10029802","8","10028416","10029802","1386","1534.31159643","0.903336716755"
"SL2.50ch00:10040285-10041207","16","10040285","10041207","922","1534.31159643","0.600920961651"
"SL2.50ch00:10065547-10066847","28","10065547","10066847","1300","1534.31159643","0.847285520766"
"SL2.50ch00:10068678-10069836","13","10068678","10069836","1158","1534.31159643","0.754735871575"
"SL2.50ch00:10073347-10074116","52","10073347","10074116","769","1534.31159643","0.501201973438"
"SL2.50ch00:10073370-10074157","53","10073370","10074157","787","1534.31159643","0.51293361911"
"SL2.50ch00:10077053-10077901","16","10077053","10077901","848","1534.31159643","0.552690862777"
"SL2.50ch00:10083573-10085215","15","10083573","10085215","1642","1534.31159643","1.07018678854"
"SL2.50ch00:10103542-10104151","16","10103542","10104151","609","1534.31159643","0.396920678574"
"SL2.50ch00:10103592-10104363","16","10103592","10104363","771","1534.31159643","0.502505489623"
"SL2.50ch00:10105958-10106333","10","10105958","10106333","375","1534.31159643","0.244409284836"
"SL2.50ch00:10110853-10111334","7","10110853","10111334","481","1534.31159643","0.313495642683"
"SL2.50ch00:10117330-10118340","27","10117330","10118340","1010","1534.31159643","0.658275673826"
"SL2.50ch00:10120640-10122337","20","10120640","10122337","1697","1534.31159643","1.10603348365"
"SL2.50ch00:10152857-10156261","54","10152857","10156261","3404","1534.31159643","2.21858454822"
"SL2.50ch00:10157394-10158622","16","10157394","10158622","1228","1534.31159643","0.800358938077"
"SL2.50ch00:10272174-10272805","20","10272174","10272805","631","1534.31159643","0.411259356618"
"SL2.50ch00:10272195-10272892","20","10272195","10272892","697","1534.31159643","0.454275390749"
"SL2.50ch00:10279897-10280460","10","10279897","10280460","563","1534.31159643","0.366939806301"
"SL2.50ch00:10282406-10282910","15","10282406","10282910","504","1534.31159643","0.32848607882"
"SL2.50ch00:10282428-10283039","16","10282428","10283039","611","1534.31159643","0.39822419476"
"SL2.50ch00:10289371-10289773","9","10289371","10289773","402","1534.31159643","0.262006753345"
"SL2.50ch00:10289429-10289804","9","10289429","10289804","375","1534.31159643","0.244409284836"
"SL2.50ch00:10290747-10292202","8","10290747","10292202","1455","1534.31159643","0.948308025165"
"SL2.50ch00:10297658-10298405","26","10297658","10298405","747","1534.31159643","0.486863295394"
"SL2.50ch00:10297803-10298602","24","10297803","10298602","799","1534.31159643","0.520754716225"
"SL2.50ch00:10299758-10300798","19","10299758","10300798","1040","1534.31159643","0.677828416613"
"SL2.50ch00:10299813-10300215","11","10299813","10300215","402","1534.31159643","0.262006753345"
"SL2.50ch00:10302537-10303498","7","10302537","10303498","961","1534.31159643","0.626339527274"
"SL2.50ch00:10307200-10307668","8","10307200","10307668","468","1534.31159643","0.305022787476"
"SL2.50ch00:10310433-10311167","9","10310433","10311167","734","1534.31159643","0.478390440186"
"SL2.50ch00:10312893-10313507","20","10312893","10313507","614","1534.31159643","0.400179469039"
"SL2.50ch00:10399133-10400855","64","10399133","10400855","1722","1534.31159643","1.12232743597"
"SL2.50ch00:10399171-10400736","64","10399171","10400736","1565","1534.31159643","1.02000141538"
"SL2.50ch00:10401963-10403672","86","10401963","10403672","1709","1534.31159643","1.11385458076"
"SL2.50ch00:10402027-10403625","85","10402027","10403625","1598","1534.31159643","1.04150943245"
"SL2.50ch00:10405076-10406218","12","10405076","10406218","1142","1534.31159643","0.744307742088"
"SL2.50ch00:10410779-10412076","36","10410779","10412076","1297","1534.31159643","0.845330246487"
"SL2.50ch00:10410836-10412161","32","10410836","10412161","1325","1534.31159643","0.863579473088"
"SL2.50ch00:10413868-10414445","10","10413868","10414445","577","1534.31159643","0.376064419601"
"SL2.50ch00:10413950-10414440","10","10413950","10414440","490","1534.31159643","0.319361465519"
"SL2.50ch00:10421276-10421986","19","10421276","10421986","710","1534.31159643","0.462748245957"
