"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10005141-10011112","1377","10005141","10011112","5971","1336.01441019","4.46926317147"
"SL2.50ch00:10065487-10066763","238","10065487","10066763","1276","1336.01441019","0.955079518806"
"SL2.50ch00:10068907-10069554","94","10068907","10069554","647","1336.01441019","0.484276213689"
"SL2.50ch00:10077002-10077940","171","10077002","10077940","938","1336.01441019","0.702088235611"
"SL2.50ch00:10083677-10084008","63","10083677","10084008","331","1336.01441019","0.24775181875"
"SL2.50ch00:10083717-10084121","73","10083717","10084121","404","1336.01441019","0.302391947961"
"SL2.50ch00:10087141-10087522","49","10087141","10087522","381","1336.01441019","0.285176564785"
"SL2.50ch00:10091503-10092106","82","10091503","10092106","603","1336.01441019","0.451342437179"
"SL2.50ch00:10093140-10093724","93","10093140","10093724","584","1336.01441019","0.437121033686"
"SL2.50ch00:10103496-10104116","146","10103496","10104116","620","1336.01441019","0.464066850831"
"SL2.50ch00:10105984-10106392","68","10105984","10106392","408","1336.01441019","0.305385927643"
"SL2.50ch00:10108110-10108526","80","10108110","10108526","416","1336.01441019","0.311373887009"
"SL2.50ch00:10111024-10111355","43","10111024","10111355","331","1336.01441019","0.24775181875"
"SL2.50ch00:10117335-10118295","173","10117335","10118295","960","1336.01441019","0.718555123867"
"SL2.50ch00:10120087-10122222","265","10120087","10122222","2135","1336.01441019","1.59803665568"
"SL2.50ch00:10120718-10122214","223","10120718","10122214","1496","1336.01441019","1.11974840136"
"SL2.50ch00:10152460-10155800","510","10152460","10155800","3340","1336.01441019","2.49997303512"
"SL2.50ch00:10152754-10155689","479","10152754","10155689","2935","1336.01441019","2.19683259224"
"SL2.50ch00:10157628-10158609","131","10157628","10158609","981","1336.01441019","0.734273517201"
"SL2.50ch00:10157650-10158569","127","10157650","10158569","919","1336.01441019","0.687866832118"
"SL2.50ch00:10272221-10272832","171","10272221","10272832","611","1336.01441019","0.457330396544"
"SL2.50ch00:10279819-10280479","91","10279819","10280479","660","1336.01441019","0.494006647658"
"SL2.50ch00:10289422-10289901","129","10289422","10289901","479","1336.01441019","0.358529067013"
"SL2.50ch00:10290736-10291286","76","10290736","10291286","550","1336.01441019","0.411672206382"
"SL2.50ch00:10291703-10292158","66","10291703","10292158","455","1336.01441019","0.340565188916"
"SL2.50ch00:10297595-10298546","288","10297595","10298546","951","1336.01441019","0.71181866958"
"SL2.50ch00:10297703-10298485","277","10297703","10298485","782","1336.01441019","0.585323027983"
"SL2.50ch00:10299741-10300252","98","10299741","10300252","511","1336.01441019","0.382480904475"
"SL2.50ch00:10302592-10303453","126","10302592","10303453","861","1336.01441019","0.644454126718"
"SL2.50ch00:10307193-10307574","49","10307193","10307574","381","1336.01441019","0.285176564785"
"SL2.50ch00:10312875-10313412","121","10312875","10313412","537","1336.01441019","0.401941772413"
"SL2.50ch00:10399107-10400823","490","10399107","10400823","1716","1336.01441019","1.28441728391"
"SL2.50ch00:10399126-10400773","489","10399126","10400773","1647","1336.01441019","1.23277113438"
"SL2.50ch00:10401962-10403570","695","10401962","10403570","1608","1336.01441019","1.20357983248"
"SL2.50ch00:10402022-10403589","684","10402022","10403589","1567","1336.01441019","1.17289154073"
