"SL2.50ch00:10005141-10011112","912","SL2.50ch00:10005141-10011112","SL2.50ch00:10005141-10011112","Bad Read Size"
"SL2.50ch00:10065487-10066763","132","SL2.50ch00:10065487-10066763","SL2.50ch00:10065487-10066763","Bad Read Size"
"SL2.50ch00:10068907-10069554","51","SL2.50ch00:10068907-10069554","SL2.50ch00:10068907-10069554","Bad Read Size"
"SL2.50ch00:10077002-10077940","124","SL2.50ch00:10077002-10077940","SL2.50ch00:10077002-10077940","Bad Read Size"
"SL2.50ch00:10083677-10084008","38","SL2.50ch00:10083677-10084008","SL2.50ch00:10083677-10084008","Bad Read Size"
"SL2.50ch00:10083717-10084121","40","SL2.50ch00:10083717-10084121","SL2.50ch00:10083717-10084121","Bad Read Size"
"SL2.50ch00:10087141-10087522","26","SL2.50ch00:10087141-10087522","SL2.50ch00:10087141-10087522","Bad Read Size"
"SL2.50ch00:10091503-10092106","77","SL2.50ch00:10091503-10092106","SL2.50ch00:10091503-10092106","Bad Read Size"
"SL2.50ch00:10093140-10093724","51","SL2.50ch00:10093140-10093724","SL2.50ch00:10093140-10093724","Bad Read Size"
"SL2.50ch00:10103496-10104116","74","SL2.50ch00:10103496-10104116","SL2.50ch00:10103496-10104116","Bad Read Size"
"SL2.50ch00:10105984-10106392","51","SL2.50ch00:10105984-10106392","SL2.50ch00:10105984-10106392","Bad Read Size"
"SL2.50ch00:10108110-10108526","63","SL2.50ch00:10108110-10108526","SL2.50ch00:10108110-10108526","Bad Read Size"
"SL2.50ch00:10111024-10111355","42","SL2.50ch00:10111024-10111355","SL2.50ch00:10111024-10111355","Bad Read Size"
"SL2.50ch00:10117335-10118295","111","SL2.50ch00:10117335-10118295","SL2.50ch00:10117335-10118295","Bad Read Size"
"SL2.50ch00:10120087-10122222","160","SL2.50ch00:10120087-10122222","SL2.50ch00:10120087-10122222","Bad Read Size"
"SL2.50ch00:10120718-10122214","121","SL2.50ch00:10120718-10122214","SL2.50ch00:10120718-10122214","Bad Read Size"
"SL2.50ch00:10152460-10155800","308","SL2.50ch00:10152460-10155800","SL2.50ch00:10152460-10155800","Bad Read Size"
"SL2.50ch00:10152754-10155689","265","SL2.50ch00:10152754-10155689","SL2.50ch00:10152754-10155689","Bad Read Size"
"SL2.50ch00:10157628-10158609","89","SL2.50ch00:10157628-10158609","SL2.50ch00:10157628-10158609","Bad Read Size"
"SL2.50ch00:10157650-10158569","84","SL2.50ch00:10157650-10158569","SL2.50ch00:10157650-10158569","Bad Read Size"
"SL2.50ch00:10272221-10272832","137","SL2.50ch00:10272221-10272832","SL2.50ch00:10272221-10272832","Bad Read Size"
"SL2.50ch00:10279819-10280479","63","SL2.50ch00:10279819-10280479","SL2.50ch00:10279819-10280479","Bad Read Size"
"SL2.50ch00:10289422-10289901","46","SL2.50ch00:10289422-10289901","SL2.50ch00:10289422-10289901","Bad Read Size"
"SL2.50ch00:10290736-10291286","44","SL2.50ch00:10290736-10291286","SL2.50ch00:10290736-10291286","Bad Read Size"
"SL2.50ch00:10291703-10292158","72","SL2.50ch00:10291703-10292158","SL2.50ch00:10291703-10292158","Bad Read Size"
"SL2.50ch00:10297595-10298546","236","SL2.50ch00:10297595-10298546","SL2.50ch00:10297595-10298546","Bad Read Size"
"SL2.50ch00:10297703-10298485","233","SL2.50ch00:10297703-10298485","SL2.50ch00:10297703-10298485","Bad Read Size"
"SL2.50ch00:10299741-10300252","37","SL2.50ch00:10299741-10300252","SL2.50ch00:10299741-10300252","Bad Read Size"
"SL2.50ch00:10302592-10303453","77","SL2.50ch00:10302592-10303453","SL2.50ch00:10302592-10303453","Bad Read Size"
"SL2.50ch00:10307193-10307574","48","SL2.50ch00:10307193-10307574","SL2.50ch00:10307193-10307574","Bad Read Size"
"SL2.50ch00:10312875-10313412","128","SL2.50ch00:10312875-10313412","SL2.50ch00:10312875-10313412","Bad Read Size"
