"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10000363-10002183","689","10000363","10002183","1820","1549.65308533","1.17445641043"
"SL2.50ch00:10005133-10011081","2406","10005133","10011081","5948","1549.65308533","3.83827842265"
"SL2.50ch00:10007543-10011086","1771","10007543","10011086","3543","1549.65308533","2.28631816601"
"SL2.50ch00:10028416-10029802","287","10028416","10029802","1386","1549.65308533","0.894393727941"
"SL2.50ch00:10040285-10041207","187","10040285","10041207","922","1549.65308533","0.594971873854"
"SL2.50ch00:10065547-10066847","389","10065547","10066847","1300","1549.65308533","0.83889743602"
"SL2.50ch00:10066085-10066757","286","10066085","10066757","672","1549.65308533","0.43364544385"
"SL2.50ch00:10068678-10069836","271","10068678","10069836","1158","1549.65308533","0.747264023777"
"SL2.50ch00:10073255-10074181","430","10073255","10074181","926","1549.65308533","0.597553096734"
"SL2.50ch00:10073370-10074157","428","10073370","10074157","787","1549.65308533","0.507855601652"
"SL2.50ch00:10083573-10085215","276","10083573","10085215","1642","1549.65308533","1.05959199226"
"SL2.50ch00:10103462-10104050","198","10103462","10104050","588","1549.65308533","0.379439763369"
"SL2.50ch00:10103592-10104363","242","10103592","10104363","771","1549.65308533","0.497530710132"
"SL2.50ch00:10105958-10106333","92","10105958","10106333","375","1549.65308533","0.241989645006"
"SL2.50ch00:10110853-10111334","96","10110853","10111334","481","1549.65308533","0.310392051327"
"SL2.50ch00:10117330-10118340","368","10117330","10118340","1010","1549.65308533","0.651758777215"
"SL2.50ch00:10120640-10122337","543","10120640","10122337","1697","1549.65308533","1.09508380687"
"SL2.50ch00:10120685-10122305","533","10120685","10122305","1620","1549.65308533","1.04539526642"
"SL2.50ch00:10152857-10156261","851","10152857","10156261","3404","1549.65308533","2.19662067093"
"SL2.50ch00:10157394-10158622","355","10157394","10158622","1228","1549.65308533","0.792435424178"
"SL2.50ch00:10272195-10272892","227","10272195","10272892","697","1549.65308533","0.44977808685"
"SL2.50ch00:10272212-10272758","198","10272212","10272758","546","1549.65308533","0.352336923128"
"SL2.50ch00:10279897-10280460","169","10279897","10280460","563","1549.65308533","0.363307120368"
"SL2.50ch00:10282428-10283039","161","10282428","10283039","611","1549.65308533","0.394281794929"
"SL2.50ch00:10289429-10289804","118","10289429","10289804","375","1549.65308533","0.241989645006"
"SL2.50ch00:10290747-10292202","322","10290747","10292202","1455","1549.65308533","0.938919822622"
"SL2.50ch00:10291757-10292211","158","10291757","10292211","454","1549.65308533","0.292968796887"
"SL2.50ch00:10297670-10298318","335","10297670","10298318","648","1549.65308533","0.41815810657"
"SL2.50ch00:10297803-10298602","382","10297803","10298602","799","1549.65308533","0.515599270292"
"SL2.50ch00:10299758-10300798","269","10299758","10300798","1040","1549.65308533","0.671117948816"
"SL2.50ch00:10302537-10303498","219","10302537","10303498","961","1549.65308533","0.620138796934"
"SL2.50ch00:10307200-10307668","117","10307200","10307668","468","1549.65308533","0.302003076967"
"SL2.50ch00:10310433-10311167","152","10310433","10311167","734","1549.65308533","0.473654398491"
"SL2.50ch00:10312860-10313224","128","10312860","10313224","364","1549.65308533","0.234891282085"
"SL2.50ch00:10312893-10313507","200","10312893","10313507","614","1549.65308533","0.396217712089"
"SL2.50ch00:10399117-10400684","975","10399117","10400684","1567","1549.65308533","1.01119406326"
"SL2.50ch00:10399133-10400855","966","10399133","10400855","1722","1549.65308533","1.11121644987"
"SL2.50ch00:10401967-10403619","991","10401967","10403619","1652","1549.65308533","1.06604504946"
"SL2.50ch00:10402027-10403625","978","10402027","10403625","1598","1549.65308533","1.03119854058"
"SL2.50ch00:10405076-10406218","332","10405076","10406218","1142","1549.65308533","0.736939132257"
"SL2.50ch00:10410690-10412088","757","10410690","10412088","1398","1549.65308533","0.902137396581"
"SL2.50ch00:10410836-10412161","723","10410836","10412161","1325","1549.65308533","0.85503007902"
"SL2.50ch00:10413868-10414445","167","10413868","10414445","577","1549.65308533","0.372341400449"
"SL2.50ch00:10413964-10414425","156","10413964","10414425","461","1549.65308533","0.297485936927"
"SL2.50ch00:10421276-10421986","229","10421276","10421986","710","1549.65308533","0.458167061211"
"SL2.50ch00:10423987-10424619","170","10423987","10424619","632","1549.65308533","0.40783321505"
"SL2.50ch00:10428514-10429841","721","10428514","10429841","1327","1549.65308533","0.85632069046"
"SL2.50ch00:10428580-10429842","717","10428580","10429842","1262","1549.65308533","0.814375818659"
"SL2.50ch00:10431271-10432050","195","10431271","10432050","779","1549.65308533","0.502693155892"
"SL2.50ch00:10438285-10439172","231","10438285","10439172","887","1549.65308533","0.572386173653"
"SL2.50ch00:10438299-10439275","231","10438299","10439275","976","1549.65308533","0.629818382735"
"SL2.50ch00:10477104-10477596","92","10477104","10477596","492","1549.65308533","0.317490414247"
"SL2.50ch00:10479070-10480453","382","10479070","10480453","1383","1549.65308533","0.892457810781"
"SL2.50ch00:10479107-10484403","1306","10479107","10484403","5296","1549.65308533","3.4175390932"
"SL2.50ch00:10483585-10484268","252","10483585","10484268","683","1549.65308533","0.44074380677"
"SL2.50ch00:10485639-10487172","919","10485639","10487172","1533","1549.65308533","0.989253668783"
"SL2.50ch00:10485719-10487540","972","10485719","10487540","1821","1549.65308533","1.17510171615"
"SL2.50ch00:10489375-10489963","105","10489375","10489963","588","1549.65308533","0.379439763369"
"SL2.50ch00:10489689-10497666","1894","10489689","10497666","7977","1549.65308533","5.14760372856"
"SL2.50ch00:10508238-10508709","140","10508238","10508709","471","1549.65308533","0.303938994127"
"SL2.50ch00:10508251-10508728","140","10508251","10508728","477","1549.65308533","0.307810828447"
"SL2.50ch00:10574808-10576025","668","10574808","10576025","1217","1549.65308533","0.785337061258"
"SL2.50ch00:10574831-10576116","668","10574831","10576116","1285","1549.65308533","0.829217850219"
"SL2.50ch00:10577299-10578748","294","10577299","10578748","1449","1549.65308533","0.935047988302"
"SL2.50ch00:10577320-10578111","212","10577320","10578111","791","1549.65308533","0.510436824532"
"SL2.50ch00:10583343-10583980","138","10583343","10583980","637","1549.65308533","0.41105974365"
"SL2.50ch00:10588089-10588760","189","10588089","10588760","671","1549.65308533","0.43300013813"
"SL2.50ch00:10591312-10591687","73","10591312","10591687","375","1549.65308533","0.241989645006"
"SL2.50ch00:10600386-10601998","404","10600386","10601998","1612","1549.65308533","1.04023282066"
"SL2.50ch00:10601298-10602118","184","10601298","10602118","820","1549.65308533","0.529150690412"
"SL2.50ch00:10604587-10606328","1600","10604587","10606328","1741","1549.65308533","1.12347725855"
"SL2.50ch00:10604618-10606322","1598","10604618","10606322","1704","1549.65308533","1.09960094691"
"SL2.50ch00:10607799-10610148","1730","10607799","10610148","2349","1549.65308533","1.51582313632"
"SL2.50ch00:10607825-10610081","1730","10607825","10610081","2256","1549.65308533","1.45580970435"
"SL2.50ch00:10617034-10618103","1433","10617034","10618103","1069","1549.65308533","0.689831814696"
"SL2.50ch00:10617063-10618124","1429","10617063","10618124","1061","1549.65308533","0.684669368936"
"SL2.50ch00:10627454-10628374","1378","10627454","10628374","920","1549.65308533","0.593681262414"
"SL2.50ch00:10627488-10628370","1322","10627488","10628370","882","1549.65308533","0.569159645053"
"SL2.50ch00:10630268-10631004","549","10630268","10631004","736","1549.65308533","0.474945009931"
"SL2.50ch00:10630273-10630919","549","10630273","10630919","646","1549.65308533","0.41686749513"
"SL2.50ch00:10632670-10636807","2966","10632670","10636807","4137","1549.65308533","2.6696297637"
"SL2.50ch00:10632690-10636727","2964","10632690","10636727","4037","1549.65308533","2.6050991917"
"SL2.50ch00:10638561-10640200","2840","10638561","10640200","1639","1549.65308533","1.0576560751"
"SL2.50ch00:10638613-10640277","2821","10638613","10640277","1664","1549.65308533","1.07378871811"
"SL2.50ch00:10642031-10643876","2062","10642031","10643876","1845","1549.65308533","1.19058905343"
"SL2.50ch00:10642060-10643975","2062","10642060","10643975","1915","1549.65308533","1.23576045383"
"SL2.50ch00:10644553-10646100","893","10644553","10646100","1547","1549.65308533","0.998287948863"
"SL2.50ch00:10644582-10645685","845","10644582","10645685","1103","1549.65308533","0.711772209177"
"SL2.50ch00:10651659-10652255","381","10651659","10652255","596","1549.65308533","0.384602209129"
"SL2.50ch00:10651669-10652308","381","10651669","10652308","639","1549.65308533","0.41235035509"
"SL2.50ch00:10653404-10654598","593","10653404","10654598","1194","1549.65308533","0.770495029698"
"SL2.50ch00:10653567-10654616","586","10653567","10654616","1049","1549.65308533","0.676925700296"
"SL2.50ch00:10656054-10657819","630","10656054","10657819","1765","1549.65308533","1.13896459583"
"SL2.50ch00:10656073-10657764","630","10656073","10657764","1691","1549.65308533","1.09121197255"
"SL2.50ch00:10659590-10661157","340","10659590","10661157","1567","1549.65308533","1.01119406326"
"SL2.50ch00:10663998-10664883","2924","10663998","10664883","885","1549.65308533","0.571095562213"
"SL2.50ch00:10664310-10664854","2911","10664310","10664854","544","1549.65308533","0.351046311688"
"SL2.50ch00:10665513-10666162","4782","10665513","10666162","649","1549.65308533","0.41880341229"
"SL2.50ch00:10665525-10666271","4782","10665525","10666271","746","1549.65308533","0.481398067131"
"SL2.50ch00:10667182-10669646","17912","10667182","10669646","2464","1549.65308533","1.59003329412"
"SL2.50ch00:10667219-10669649","17912","10667219","10669649","2430","1549.65308533","1.56809289964"
"SL2.50ch00:10672269-10673004","3751","10672269","10673004","735","1549.65308533","0.474299704211"
"SL2.50ch00:10672295-10673041","3751","10672295","10673041","746","1549.65308533","0.481398067131"
"SL2.50ch00:10675322-10676638","4106","10675322","10676638","1316","1549.65308533","0.84922232754"
"SL2.50ch00:10675715-10676647","4005","10675715","10676647","932","1549.65308533","0.601424931054"
"SL2.50ch00:10680494-10686454","48690","10680494","10686454","5960","1549.65308533","3.84602209129"
"SL2.50ch00:10680581-10686405","48474","10680581","10686405","5824","1549.65308533","3.75826051337"
"SL2.50ch00:10687232-10692825","43798","10687232","10692825","5593","1549.65308533","3.60919489204"
"SL2.50ch00:10687260-10692761","43728","10687260","10692761","5501","1549.65308533","3.5498267658"
"SL2.50ch00:10721753-10722752","370","10721753","10722752","999","1549.65308533","0.644660414295"
"SL2.50ch00:10729271-10730740","1288","10729271","10730740","1469","1549.65308533","0.947954102702"
"SL2.50ch00:10729357-10730676","1285","10729357","10730676","1319","1549.65308533","0.8511582447"
"SL2.50ch00:10731556-10732670","1099","10731556","10732670","1114","1549.65308533","0.718870572097"
"SL2.50ch00:10731625-10733902","1366","10731625","10733902","2277","1549.65308533","1.46936112447"
"SL2.50ch00:10734439-10737127","527","10734439","10737127","2688","1549.65308533","1.7345817754"
"SL2.50ch00:10743514-10745178","748","10743514","10745178","1664","1549.65308533","1.07378871811"
"SL2.50ch00:10743717-10745260","733","10743717","10745260","1543","1549.65308533","0.995706725983"
"SL2.50ch00:10746690-10748940","689","10746690","10748940","2250","1549.65308533","1.45193787003"
"SL2.50ch00:10746880-10748766","620","10746880","10748766","1886","1549.65308533","1.21704658795"
"SL2.50ch00:10776577-10777822","445","10776577","10777822","1245","1549.65308533","0.803405621419"
"SL2.50ch00:10776623-10777730","445","10776623","10777730","1107","1549.65308533","0.714353432057"
"SL2.50ch00:10778513-10781161","613","10778513","10781161","2648","1549.65308533","1.7087695466"
"SL2.50ch00:10782742-10784037","417","10782742","10784037","1295","1549.65308533","0.835670907419"
"SL2.50ch00:10783585-10783949","222","10783585","10783949","364","1549.65308533","0.234891282085"
"SL2.50ch00:10788579-10789335","344","10788579","10789335","756","1549.65308533","0.487851124331"
"SL2.50ch00:10788604-10789234","334","10788604","10789234","630","1549.65308533","0.406542603609"
"SL2.50ch00:10793398-10793864","154","10793398","10793864","466","1549.65308533","0.300712465527"
"SL2.50ch00:10793503-10794068","182","10793503","10794068","565","1549.65308533","0.364597731809"
"SL2.50ch00:10798377-10803492","1412","10798377","10803492","5115","1549.65308533","3.30073875788"
"SL2.50ch00:10799510-10800069","187","10799510","10800069","559","1549.65308533","0.360725897488"
"SL2.50ch00:10802221-10803440","460","10802221","10803440","1219","1549.65308533","0.786627672698"
"SL2.50ch00:10830671-10832340","1533","10830671","10832340","1669","1549.65308533","1.07701524671"
"SL2.50ch00:10830783-10832339","1533","10830783","10832339","1556","1549.65308533","1.00409570034"
"SL2.50ch00:10834926-10835824","892","10834926","10835824","898","1549.65308533","0.579484536574"
"SL2.50ch00:10834966-10835770","856","10834966","10835770","804","1549.65308533","0.518825798892"
"SL2.50ch00:10842034-10842622","240","10842034","10842622","588","1549.65308533","0.379439763369"
"SL2.50ch00:10842053-10842619","240","10842053","10842619","566","1549.65308533","0.365243037529"
"SL2.50ch00:10843882-10845225","446","10843882","10845225","1343","1549.65308533","0.86664558198"
"SL2.50ch00:10843914-10845152","446","10843914","10845152","1238","1549.65308533","0.798888481379"
"SL2.50ch00:10846196-10847084","723","10846196","10847084","888","1549.65308533","0.573031479373"
"SL2.50ch00:10846198-10847139","723","10846198","10847139","941","1549.65308533","0.607232682534"
"SL2.50ch00:10848766-10850022","684","10848766","10850022","1256","1549.65308533","0.810503984339"
"SL2.50ch00:10848846-10850034","654","10848846","10850034","1188","1549.65308533","0.766623195378"
"SL2.50ch00:10854412-10857486","1055","10854412","10857486","3074","1549.65308533","1.98366978333"
"SL2.50ch00:10855515-10857404","817","10855515","10857404","1889","1549.65308533","1.21898250511"
"SL2.50ch00:10910102-10911481","992","10910102","10911481","1379","1549.65308533","0.889876587901"
"SL2.50ch00:10910254-10911483","966","10910254","10911483","1229","1549.65308533","0.793080729898"
"SL2.50ch00:10913428-10914869","484","10913428","10914869","1441","1549.65308533","0.929885542542"
"SL2.50ch00:10914214-10915006","381","10914214","10915006","792","1549.65308533","0.511082130252"
"SL2.50ch00:10917300-10919792","2895","10917300","10919792","2492","1549.65308533","1.60810185428"
